title,user,date,rating,review,helpful
" More corn than the Jolly Green Giant
",radhrh,13 June 2022,6,"I drove an hour each way to see this in a movie theater, my first visit to one a couple of years because I wanted to get the full cinematic experience. What I got was a huge pile of corn. If not for the flying sequences, which are awesome, the rest of the movie is a bit pants. Ed Harris is in it for a single scene, more of a cameo role than anything. Val Kilmer's scene was embarrassing. Jennifer Connelly is looking her age and plays a half baked love interest which frankly the film could have done without. Is she supposed to be the Kelly McGillis role from the original movie? She lives in a very similar house and she drives a Porsche so who knows? The plot revolves around a mission so uniquely unlikely that it makes the movie slightly preposterous. The cast of pilots don't hold a candle to the original cast and their characters are two dimensional and boring. It isn't Tom Cruise's best performance either playing the eponymous Maverick, a man still plagued by the death of his buddy, Goose from the first movie. Come on, man. That was 35 years ago, get over it FFS! Jon Hamm, who I normally like doesn't look comfortable playing Maverick's up tight commander and there's a scene of beach football which is supposed to mirror the volleyball scene from the first movie but just looks gay AF. Once again the flying scenes are unbelievable, by that I mean extremely believable. The actors must have actually been in the planes for at least some of the shots and CGI has been kept to a minimum which is great to see. But take away those sequences, which don't account for much run time, maybe 15% of total run time, and what you have left is quite poor.",191 out of 320 found this helpful.
" US-YAAAAAYYYY!!!
",MadamWarden,26 May 2022,5,"A great little advert for the USA war machine. If you're a war mongering Yank that is. As an airforce vet, I really enjoyed watching the F18s (circa 1978) and the F14 (circa 1970). It is amazing that USA still uses 45 year old aircraft.Great fun action scenes, although too few. Great visuals!Connelly is hot and Cruise charismatic as always. The script and plot predictable and boring.Obligatory little homoerotic beach and sweaty muscle scene as in the first. Trying for the broad cult appeal.As long as you're a gun toting, red blooded American, this is exactly what you need. As for the rest of us....But, US-YAAAAAYYYY!!!!",78 out of 300 found this helpful.
" More Hollywood Banality
",XE_Kilroy,11 June 2022,1,"That a Top Gun 2 happened twenty years later highlights that it was never a necessity in the first place. There's nothing new or worthwhile to the venture, and cheapened by weaving in political sub-plots to today's world. The Top Gun 'universe' is not better now than before.It just emphasizes the continuing ways that Hollywood is struggling from a creativity and production standpoint. The big time lone producers with guts and vision replaced by a conglomeration of financial backers and boardroom analytics who don't value the daring and creative scriptwriters and ideas people. Opting instead for employees who'll follow instructions. Or something like that.We had the era of remaking old TV shows into movies. Now it seems we're on the cusp of a new era. We already kind of saw this happen with Matrix Resurrections, now Top Gun got the treatment. Flicking back thru old hit movies with the idea of bringing actors back for the sake of nostalgia. What next? Point Break 2, Con Air 2, Pretty Woman 2, etc..I can already see it.This incites me to bring up another annoyance of mine. Sequels in general...There are certain movies pre-planned to be trilogies, like Harry Potter, which are fine. Or adaptions of a 5+ book series that need sequels.But a lot of the time it's a standalone movie that does well, that they milk to death which ruins it. Often it's from part 3 onwards that the rot sets in. It's easier to find a story in a part 2, something in the original script, a loose end, a what if, that offers a continuation. Part 2 often closes it. So when they then try to make up a story for part 3 it's often a reach, or rehashing the original due to a lack of creativity and the studio pushing something thru shoddily for a quick buck.So many movie franchises.... The Matrix, Alien, Terminator, Die Hard, Rocky, Friday the 13th, Halloween, Final Destination, Star Wars, Dirty Harry, Lethal Weapon, etc....the list goes on and on. There are some ok ones at part 3 or beyond, but they're not common. I know it's probably film heresy what I'm saying, but the world would've survived with just an original or a part 2.I understand the motivations behind some of them -- creating franchises, universes, that can become financial juggernauts across other media too. But the vast majority of them end up falling into silliness and mediocrity, ruining the lore/canon of the original in trying to pad story in.Most fans of particular franchises are happy to keep diving into ongoing sequels. It's all just entertainment, not end of the world stuff. Still, that's my unpopular opinion.The world would've survived and been none the worse if there was only one Top Gun.",113 out of 288 found this helpful.
" The end of cinema
",bzahariev,30 May 2022,1,"Maverick murdered cinema. For a movie that boasts ultrasonic speed, this death was slow and painful. Top Gun:Maverick the biggest disgrace of a movie I have ever watched. My brain ached halfway through, the amount of sodding cliches that this is built on is devastating, please don't do this to yourselves.This is not even close to a blockbuster, not even a pathetic remake. It is shallow, bland, tasteless, utterly devoid of any meaningful plot development. I will not even begin to describe the flippant implications it leaves about contemporary American power.It does not even do it justice to say this movie is Tom Cruise enjoying himself all the time? Yet, why Tom, why? What is there to smile about so much in all these inappropriate places? And I have always liked Tom Cruise. But it seems the whole point of the movie was to prove some middle-age-crisis induced point that Tom Cruise, being Tom Cruise, can pilot a jet.The problem is, if you do this to yourselves, you will never be able to see the original Top Gun with the same innocent, unspoiled eyes again.",69 out of 282 found this helpful.
" Best movie of 2022!
",trimblair,26 May 2022,10,"Wow! As a retired combat veteran who has flown jets, I LOVED THIS MOVIE! It had massive heart, great action and wonderful Cameos. The flying scenes were the best I've seen. Nobody left the theater for 90 minutes!

                    198 out of 278 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",198 out of 278 found this helpful.
" Boring
",kwim,11 June 2022,1,"Obsolete and boring. Definitely not my cup of tea... Where is the fun in all this hyperactive much ado about absolutely nothing? I like once in a while testosterone driven actions on screen. But this? Please.

                    100 out of 271 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",100 out of 271 found this helpful.
" Get the girl, kill the baddies and save the entire planet!!
",damnbrown,10 June 2022,1,"Briefly summarized: Get the girl, kill the baddies and save the entire planet! For a good action flick I watch a tom cruise film, for a sane world view I look elsewhere.

                    106 out of 267 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",106 out of 267 found this helpful.
" Rooster, Rooster, Rooster, that's the script.
",Birminghamukengland,8 June 2022,1,"I paid 20 quid for this and what a waste of money. I had read all the reviews and had very high expectations.At one point I thought if I hear the word ""Rooster"" just one more time I'll walk out. Rooster, Rooster, Rooster.I found it plain boring. It's totally the Tom Cruise show, he's in every single frame.The acting was cheesy throughout.I know I'll be in the minority but I'm entitled to my opinion.Don't bother with the soundtrack on Spotify as none of it is used.Absolute waste of my time.",97 out of 267 found this helpful.
" BEST FILMS OF THE YEAR SO FAR!!!
",HabibieHakim123,25 May 2022,10,"Basically my only problem with the first Top Gun is the relationship between Maverick and Charlie, the love story, i'm fine with them at first but later on i don't care anymore, that's it, the rest of the first Top Gun was badass, it was great and it was fascinating, Top Gun: Maverick, a long wait sequel, my first problem with this movie is nothing, zero, and yes there is still a love story in this one but i like it, it did not bother me at all, i'm fine with it, is it necessary? No, but Jennifer Connelly performance is convincing enough, the rest of Top Gun: Maverick is a visually well done film, the movie succeed to make me feel so intense and it's really probably the most intense feeling i got in a non-horror movie, the movie is also surprisingly emotionally moving, Maverick is never been a guy that i was that adored, and as a character a fanatic, but somehow someway i feel like i was know him longer than ever, i feel closer to him more than ever, and i was care to him way more than ever, all the new Top Gun team is as exciting as the previous one and probably even more, Miles Teller is really the second best performance in here next to Tom Cruise, a very very powerful performances by Miles Teller, the music like the first one was great, the score, and of course the whole plane sequence was just terrific, overall Top Gun: Maverick is one of those movie that you have to watch in the theaters not only because it's a great movie but the sound and the visual is a big screen only experience, it's a way better movie than the first one too, i loved every second of this movie, it is truly a very emotional ride, it's a very fun ride, it's a very intense ride, and at in the end the whole movie is a fantastic ride, Top Gun: Maverick is so far for me the best films of the year.",172 out of 263 found this helpful.
" Can be shrugged away like Kelly McGillis
",okamiamataresu,30 May 2022,1,"The attempt started well with a Star wars new hope-esk bombing run, missed the deathstar core by a long shot.Action is lacking, the stakes are lacking. Very bland bombing run, ejected pilots run into enemy's airfield and escape with enemy plane and their chance of a good movie.",71 out of 256 found this helpful.
" The epitome of American military forces pathos, but highly entertaining at the same time
",Horst_In_Translation,30 May 2022,6,"""Top Gun: Maverick"" is an American, no THE American, movie from 2022 and this one runs for minimally over two hours if we don't count closing credits as you can add another ten minutes for those. The director is Joseph Kosinski and this is not the first time he has worked with lead actor Tom Cruise, but we will get a little later to cast and characters. In any case, Kosinski is not new to filmmaking, but also not extremely experienced. He has worked on a few films that also include American hero characters since his breakthrough in 2010, so him being picked for this one kinda makes sense. The key writer is Peter Craig. He is maybe the bigger name with his involvement with the Hunger Games franchise, the newest Batman movie and also The Town, maybe the best he has come up with so far. In any case, the parallel between him and Kosinski is that they both had their big breakthrough ten years into the new millennium. There are two other writers credited and these come from the original Top Gun movie from 35 years ago approximately. You can check their names if you like. One of them is still alive and I wonder what he thinks about the quality of this new film and if the high praise it has received so far is justified. Director Tony Scott died about a decade ago and you can read his name also at the end of the film. A few more words on the crew you could say here, namely on the music department: The names Harold Faltermeyer, Hans Zimmer and Lady Gaga in the same movie sure make for something unique. I must say I am not a Gaga fan though and her song towards the end also did almost nothing for me. We will see if she can score another Oscar nomination with it. I hope not. So yeah, for me as a German, there is surely more focus on the two Germans I have just mentioned. Now, let's look at the cast: It really from beginning to end all about Tom Cruise. Oscar winner Jennifer Connelly plays the love interest. Miles Teller (Whiplash) plays the protagonist's former wingman's son. Mad Men's Jon Hamm plays the closest to an antagonist. Val Kilmer is I think the only one (except Cruise of course) who reprises his role from the old film and he looks a lot like Jon Voight here. No Meg Ryan. There's others. Of course here you can also check out the list yourself if you care.As for the film, I am not sure I have ever seen more American pathos in one movie. The consequence was unfortunately that pretty much every single character felt fairly stereotypical. And yet, somehow it all went right. I would not agree with the raving reviews or extremely high average ratings, but I was genuinely entertained here from beginning to end. I mean I am probably biased because I like most of the cast members. Huge fan of Cruise, his personal life is none of my business. Miles Teller is one of the younger actors I really like and Jon Hamm is always a joy to watch. Simply love Mad Men. But also the ones playing smaller characters are totally fine. Glen Powell is the best example. He seemed so familiar, but maybe it is just the face. I could not really say where I saw him before. There was also the possibility his character could end up as an antagonist, but eventually the opposite is the case. Maybe the coolest moment of the film when he shows up to save the two more central male characters and what he says there. And it fits. It is all about how people in the military stick together and they are really one team, one unit, so they could not have one of them become a true antagonist or so. If you can maybe criticize the characters, then it refers to the female characters. Not a great deal of depth to them. This applies to Connolly's role for sure, but maybe also to Monica Barbaro's character, even if she is super easy on the eyes. Then again, she is just one of the military characters that do not get a lot of screen time and even less elaboration. Despite making the cut. Most of the time, she is just there to admire Cruise's character. Admittedly, to move a bit away from the gender talk, you can also say that Bob does not have too much screen time either. He just creates laughs when he is introduced with his military (non-)nickname. Just like some others when they initially do not know yet who it is they are carrying out of the bar. Next day, the rude awakening happens. Oh yeah, Barbaro's character also had that moment when Hangman is criticized for being anti-female, another reference where you could think he is maybe a bad guy, but he is just cocky and that's it and also some of the others do not like him as much as Teller's character for sure. They want the latter to be their team leader.I do agree with those saying that perhaps the last half hour is the highlight here. They kept the mission pretty simple. Early on, it still seems almost like a casting show, but this is not what it gets to be about. Eventually, the focus is on the mission itself: What they have to do exactly, namely hit two precision shots from up above to destroy radioactive substance belonging to the enemy. At the same time, they do not only have to make the shots, but also be very quick and get out safely afterwards. This is emphasized especially on one occasion when Cruise's character (the film is fittingly named after him) talks to Hamm's. Oh and by the way, the enemy is not explicitly stated. They are called a rogue state or rogue nation and that is it. We do not see the bad guys' faces either. The one thing we do know is that it is rather cold in said country. Honi soit qui mal y pense. If you know what I mean with politic events in 2022. Okay, the film was made before that and let's not get into detail on this now. Focus on the film instead. What we must get into detail on is how gimmicky this film felt at times and how it was almost too much and sometimes crossing the fine line between being entertaining and being simply over-the-top. This applies to almost everything involving Connelly's character. How we literally see her fall for him. How her daughter tells Cruise's character not to hurt her again. That was maybe the funniest moment from the film when she sees him there jumping from her mother's window. The words he tells Connelly's character one one occasion were also fairly gooey.There are more scenes that did feel on the awkward side. I mean I like Cruise, but people who don't could really struggle here. Also when Hamm looks at him in the end and finally accepts his greatness. How Kilmer's character dies on one occasion. How Maverick at the beach makes sure the gang becomes a team and shows us his great topless body as well and that he is easily in strong enough shape to take on these youngsters. Like he did before during the training. There are so many other moments. Of course, I must mention the scene in which Cruises's character pretty much loses his job and then shows everybody what he is capable of and that it is possible to get this mission done. In the process, he steals a priceless plane as well. Hamm's character's words there, his reaction was also so entertaining to watch, even if a bit exaggerated, but he made the most of it. The actor I mean. And was there ever any doubt that Cruise's character would fly the mission himself and not just be a teacher? Probably not. I mean I had some doubt if he would make it out alive in the end. Everybody knew the mission would be a success and also that Teller's character would live, but you could always think Cruise's Maverick would die a hero here. Eventually, he did not. It happened in another big franchise recently and that was enough, so good that they let the guy at the center live this time.I must also totally mention the flight sequences. They are nothing short of spectacular and the heart and soul of the film. Of course, the landscapes with all the snow are a true highlight towards the end, but also what they called the dogfight in the end with the evil pilot guy was a true highlight. This they had to use to really show that it is all about the pilot when it comes down to man versus man and not about the (potentially inferior) plane. Also pay attention to the recurring idea of ""Don't think. Just do."" This was also quite on the edge between cool and too much. But it's all good I'd say. Just like when Mach 10 extremely early on wasn't enough yet for Maverick. But I take it with the ""Where am I?"" ""Earth."" quote. That was hilarious. Maverick surely survives really many of these critical situations up in the air with his plane coming down fast. The drama coming from flocking birds or characters losing consciousness because an elephant is metaphorically sitting on their chest was nice entertainment too for sure. Surely, a lot more I could mention. Oh yes, Ed Harris in the prologue. How could I forget about him!? I also think they established some nice ties to the original movie. Good job there. I suggest watching that one right before you see this one here. But it is not a must-do of course. You will nicely understand the story in here as well without even having heard of the film from the 80s. Not a requirement to know or have seen that one. So yeah, I give ""Top Gun: Maverick"" surely a thumbs-up and to be honest I almost felt myself at some point as if I was sitting in a flight simulator because the cockpit scenes were so convincing. By the way, could one say anything negative about this film when Cruise himself shows up at the world premiere in a helicopted he flew himself? Doubtful. Coolest guy ever. And right man for the role. Do not miss out on this quality film before it disappears from movie theaters. At home, it will not be half as spectacular, even if admittedly you can play a little drinking game with your friends where one has to take a shot for each cringeworthy moment and you will be pretty drunk when it's over. Not gonna lie. With this film, you get what you came for.",52 out of 254 found this helpful.
" Are these reviews being bought by the military industrial complex?
",SwissCheeze,23 July 2022,1,"Went with an open mind. Didn't expect anything from the movie. Hadn't even seen a trailer until the reviews were claiming it was a masterpiece, so I decided to check it out. Predictable plot, no stakes, CHEESIEST dialogue you ever heard, piss poor character development, boring plot, etc. This movie is such a waste of time. Was rolling my eyes at Tom Cruise's cheesiness. And Jennifer Connelly's character was so embarrassingly cringe. Also why was the edgy Air Force guy smiling throughout every single line of his. Again, the best way I'd describe this movie is cheesy. What a ridiculous movie.

                    121 out of 251 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",121 out of 251 found this helpful.
" Holy cow such a great IMAX experience!
",UniqueParticle,31 May 2022,10,"Tom Cruise is still an ultimate being at 59 years old it's outstanding! Top Gun: Maverick deserves so much for how practical everything is. Great the IMDb rating is 8.7 hope it stays high, should even get awards. The music hit the spot, cinematography is beautiful, the story flow well, and the acting is incredible so much so that even though Val Kilmer has mouth cancer in real life he has a small part in the film. I like how the main characters trained for a near impossible mission that all was built up quite well.

                    176 out of 247 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",176 out of 247 found this helpful.
" Paper thin plot and nothing to love.
",edward-a-bowden,29 May 2022,2,"Let's get this straight. Very few people are bigger fans of the original top gun than me, and I've waited decades for this sequel.But it is truly awful, which has really upset me.The plot is paper thin, with the mission ripped shamelessly from Star Wars.There is no explanation about the scramjet programme that Maverick was piloting before he presumably crashed it.There are no characters to love and no characters to hate.There is no explanation for Penny Benjamin being the love of Maverick's life, given all we know about her previously was one 'ballistic' incident in the 80s.There is precisely zero chemistry between Maverick and Benjamin.There is precisely no sense of camaraderie between the 'best of the best' that Maverick has to coach for the 'suicide mission'. Nor is there any real sense of competition amongst them, unlike the original where they were vying for the top gun trophy.The topless football game in the sea is a very poor rip off of the topless volleyball in the original.There is no enemy. The main danger comes from surface to air missiles.And finally, the shark is well and truly jumped when they steal a 40-year old F14 that is magically charged and fuelled, then take off from a runway they destroyed half an hour into the movie.Seriously, I could go on but I won't.Two stars for the aerial photography and the skill of the actually pilots, but there is nothing else to recommend here.Perhaps this is what the original would have been without the genius script that was actually about one man's struggle with his sexuality with a few aerial battles thrown in, rather than just a movie about fighter pilots.",124 out of 238 found this helpful.
" BEST MOVIE IN YEARS
",jovanyglez,23 May 2022,10,"This movie makes you ask yourself ""what happened to those amazing, interesting, fun, thrilling scripts, what happened to thos original movies, forget the remakes, this is a masterpiece, please see in IMAX, you will be amazed, Tom Cruise amazing as Maverick, Miles Teller amazing actor, the story is very interesting!

                    155 out of 234 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",155 out of 234 found this helpful.
" Amazing entertainment
",851222,2 June 2022,10,"Greetings from Lithuania.I wasn't the biggest fan of first ""Top Gun"" movie. I saw it like 5 years ago so for me it wasn't nostalic or anything. It was just OK movie and nothing more.Today i saw ""Top Gun: Maverick"" (2022) in cinema. And it blew me away. This movie was incredible. It literally put a smile on my face. Action scenes in the air were the best i ever saw of this type of action. Directing by Joseph Kosinski was perfect. Music was on spot. Cinematography was gorgeous. I loved how actually calm and quite this movie was, until it wasn't and transition between scenes, acts, calm and action was perfect. Acting was great. This is a movie making as good as it gets. Was it predictable? Yes. But at the same time i was excited and glued to the screen during its whole 2 hours run time.Overall, ""Top Gun: Maverick"" is a Hollywood blockbuster done right. Its a Hollywood action adventure movie in every possible way, yet this time its done incredibly good. What a terrific sequel.",168 out of 233 found this helpful.
" Worth the wait
",sambitswain,23 May 2022,10,"Really!! It's amazing how something so good and looked forward to was above expectation. Amazing set designs, incredible character building, action sequences that are perfectly choreographed. This is one of the, if not, most ambitious films with a flawless execution. The fact that the director's vision is so blended with Tom Cruise and other actors is very effective on the traceability of the film. Tom Cruise is a machine. He knows what audiences want and he delivers. Not sure how they can top this one (but I thought the same after watching him cling onto a plane).You won't find a better movie of this type in the theatre right now and for the fans out there who appreciate this material, it will provide a memorable experience. Go see it you wont regret it.Perfection doesn't deserve a remake. It deserves a re-watch.

                    168 out of 233 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",168 out of 233 found this helpful.
" Puts a smile on your face!
",HalBanksy,31 May 2022,9,"What a rush. Lucky enough to watch this is on a Dolby screen - a thrilling cinema experience. Outstanding direction and editing. The genuine aerial stunts really put to shame the endless CGI tripe that is slopped into theatres every week. The action here feels viscerally REAL - something that has been sorely missed from recent blockbusters.The new cast are all perfect. It's obvious they are having the time of their lives - and that infectious joy was felt by the whole audience. Charming, funny, arrogant and heartful at all the right times. I hope we will see them reunited on screen (and much sooner than 36 years!) The nearly 60 year old Tom Cruise does not look out of place. The practical flying scenes really cannot be praised enough. It's an action masterclass, I can barely fathom the work and effort it took to capture such ambitious footage.The film is self-aware and knows exactly what the audience is there to see. Clearly a better script than the original (although lacking the iconic quotes.) Killing off Meg Ryan seemed a bit unnecessary, especially after they made the effort to bring back Val Kilmer for a quite jarring cameo. Honestly the references to the original were slightly overkill to begin with, but thankfully settled down once the plot got going.I thought the film had come to a very satisfying climax, then a happy surprise to realise the final act was only just beginning! You can't deny that Tom Cruise pulled it off - a real movie star, in a real blockbuster hit. Oscars for sound, cinematography and editing are surely locked down. Simply the best film of 2022.",166 out of 226 found this helpful.
" Top Gun 2 was so bad i walked out
",adamjalexander,9 June 2022,1,"As a Navy veteran I was kind of excited to see the sequel. Between the 20,000 extreme close-ups and extremely old people in uniform it was impossible for me to watch and I was in aviation in the military. I walked out halfway through because it brought me to tears. Not tears of joy tears of boredom. I most definitely would not recommend seeing this movie unless it is the apocalypse and there is nothing else to watch. I thought it was going to be awesome because everybody said it was the best movie ever. If you go and watch this I promise you you will be extremely disappointed.

                    75 out of 215 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",75 out of 215 found this helpful.
" So Sorry but I've LOST THAT LOVING FEELING!
",paulelliott-02057,9 June 2022,1,"Growing up in the 70s and 80s obsessed by military aviation and dreaming of being a fighter pilot the original Top Gun was literally perfect.It immersed you in an extremely realistic world of the, then modern, naval aviator with aircraft carrier action that could have really happened the next day in the cold war.Having heard amazing reviews and picked up on the interesting plot including the son of Maverick's dead RIO Goose. I was initially carried away by the first half of the movie.But then it happened... my suspended disbelief was stretched to beyond breaking point by an utterly unbelievable plot line. The concept of the mission was utterly ludicrous and there was zero development of the 2D characters such as 'Hangman'! Even Ice had a redeeming side?!Most if the reviews by critics don't seem ti relate to tge same movie.Sorry, but I've lost that loving feeling!!!Gutted!",78 out of 212 found this helpful.
" Low effort cash grab sequel with a ton of plot holes
",thebricks,30 May 2022,4,"1. Still acts like San Diego is the same place it was in the eighties, which couldn't be further from the truth.2. Maverick is, career-wise and socially still in the same place he was in 1986, which is hard to believe.3. Despite having pictures all over Pacific Fleet's lobby and being a legend in Naval Aviation, today's young top aviators have no clue who Maverick is.4. Unnamed enemy nation has fifth-generation fighter jets but no nuclear weapons, which is simply impossible.5. SAM missiles are easily visible on mountains but while cruise missiles were sent to take the airfield out, none were sent to take out the SAMs, which would have made the mission a lot easier.6. Tiresome trope at the beginning where Tom Cruise crashes the experimental plane, ends up in a diner around the Southwest that looks like it time traveled from the seventies or eighties, from the restaurant to the clothes people wore. I traveled all around that area and no one dresses like that. They all dress like Americans do all over the country. Waitresses at diners also all wear polos and pants, they don't wear dresses from the eighties. Hollywood seems to still think flyover country hasn't changed since 40 years ago.7. Pretty sure fifth-generation fighters wouldn't have to engage in a dogfight at close range with an F/A-18.8. Perhaps the most ludicrous scene in the film, the Hind attack helicopter is searching for Maverick and chooses to fire at him instead of capturing him. That doesn't happen, not even in Ukraine. Pilots are valuable to use as bargaining chips. Even regular soldiers are as we've seen in the past couple decades. You would think an advisor would have told them that scene was dumb.9. Other than a brief mention at the beginning, the movie pretends drones don't exist, which is a missed opportunity. Along with the Ukraine War, it makes the film look dated.10. Too much nostalgia for the old film, from the soundtrack that was copy and pasted with no variation, the need to include Goose's son, which was unnecessary, including Ice as a Commander. Cruise also doesn't show his age. The film needed to go in its own direction, not act like it was set one year after the original Top Gun.11. The training for the bombing run wasn't realistic. They couldn't copy the canyon exactly. Much of what Maverick did is likely already being taught to top aviators or easily accomplished by tech. If you know a lot about military equipment, or more than your casual viewer, the film is kind of silly.Top Gun was alright, but a sequel just wasn't warranted and was guaranteed to be off. It's a decent watch once, but look for this to be quickly forgotten like that Independence Day sequel. The high praise and reviews are kind of unwarranted.",100 out of 209 found this helpful.
" GARBAGE FOR THE MASSES
",nikthefreak,17 August 2022,1,"Handsome american guy with a fast motorcycle,
wearing a nice leather old school jacket,
makes love with the nice girl,and teach new
pilots how to kill the ""bad"" people around the world.""Good"" american ""heroes"" praise each other
and make fun.

                    94 out of 205 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",94 out of 205 found this helpful.
" So stupid that it insults a viewer's intelligence
",swimwin,10 June 2022,1,"I had heard that 'Top Gun: Maverick' was good. Then I watched it. It's terrible - filled with technical errors and cardboard characters.However, if you think that comic book movies are worthwhile, or are 12 years old, you may like 'Top Gun: Maverick'.

                    77 out of 201 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",77 out of 201 found this helpful.
" If you didn't like the first one ... Don't GO
",professional-info-zain,2 June 2022,1,"I did the mistake of reading the comments and believing them.. wasted 2 hours of my life.The vroom vroom scenes were okey - would be enjoyable more in any VR sim more than a movie. Other than than it was the typical predictable yet unbelievable American military cliches.There was a mosquito in the theater that i thought i was more enjoyable.

                    46 out of 191 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",46 out of 191 found this helpful.
" One of the best sequels ever
",masonsaul,28 May 2022,10,"Top Gun: Maverick accomplishes a very rare feat of being a long gestating sequel that is not only worthy of the original but actually better than it. Managing to retain the spirit of the original whilst also adding stronger stakes, a more emotionally involving narrative and better written characters.Tom Cruise is perfect as Maverick, bringing all the charm and star power but also adding much needed dramatic weight and sorrow to the character. He also has great chemistry with Jennifer Connelly, who is a strong love interest with lots of warmth and humanity.All of the new cast fit in perfectly and are all really memorable but Miles Teller is definitely the standout with a satisfying character arc and has equally great chemistry with Cruise. Val Kilmer's inclusion was a superb decision and is handled with immense love and respect.Joseph Kosinski's direction is absolutely amazing. The film looks amazing overall with some nice homages to Tony Scott's iconic style but the standout is definitely the flight sequences which are truly astonishing and satisfyingly practical.Sifting through hours upon hours of footage, the flight sequences are edited together in spectacular fashion, extremely comprehensible and never boring. The film itself has excellent pacing, naturally building to a thrilling climax that just keeps escalating.The soundtrack and music by Harold Faltermeyer, Lady Gaga and Hans Zimmer is also perfect. All the classics you expect are present and used in satisfying ways and the new music is appropriately epic. The new songs by Lada Gaga and One Republic are so good, utilised at the right moments and equally catchy and memorable.",118 out of 180 found this helpful.
" For me it is a no.
",asaracchio,6 June 2022,1,"I didn't like the first Top Gunn as a film, this second one the same, a tribute to guns and violence that I don't like. We are not quite there. Top Gun is not for me sorry.

                    39 out of 174 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",39 out of 174 found this helpful.
" Have to be an enormous Tom Cruise fan
",ballouvince,6 June 2022,1,"You have to be, in order to watch this. It was hard to get beyond the first ten minutes of this. And Cruise guilt tripping with an announcement, at the beginning, does nothing.",45 out of 171 found this helpful.
" Same movie different characters....
",aubina,29 May 2022,1,".... same story line different characters, it's all predictable ... I think there isn't much creativity here, but the film rather relies on the theatrics and special effects of the real life US Navy pilots, who did an awesome job, in saving the movie. If you've seen the original you've seen the sequel. I believe much of the high ratings are a result of the ""bandwagon effect"" as well as the excellent marketing of the studios that made the movie. Sequels should never be made.

                    57 out of 170 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",57 out of 170 found this helpful.
" A remake that actually worked
",jerrycoliver,30 May 2022,9,"So I can't give it 10 stars because ultimately it is a remake or sequel however you prefer to look at it. It falls into the same traps these films do with too many callbacks and rehashed scenes.That said, there is a very honest story about changing times and aging which ultimately drives the movie. Good cinema is subtle about real world situations (best example being Butch Cassidy and the Sundance Kid. People not watching it when it was released probably would miss all the commentary on politics from the era.) So in that sense it's pretty bold and genuine.The flight sequences are...outstanding. It was mostly shot practically which is why is looks so much more impressive than other movies. Directing is good, not great (sans the action sequences, which are great.) Acting is great. Connelly, Cruise and Teller are all A-listers for a reason. So anyone who says ""there's nothing good about this movie"" are just haters. You can't by any stretch of criticism say the action sequences and acting aren't some of the best you'll see all year.It is very much a throwback to blockbusting movies from the 80's and it really feels like it. But we haven't had that in so long, it was nice to revisit it. I don't think it's one of the greatest movies of all times, but I gave it a 9 because it could be the greatest movie from the last 3-4 years. It didn't ask you to have watched a bunch of other movies to appreciate it (like Marvel) it wasn't preachy with its messaging, it didn't drag, it was humanizing but indulgent with drama. Just a perfect summer movie for the times.",113 out of 169 found this helpful.
" Star Wars Trench Run But In F18's
",jrough001,24 May 2022,3,"This was literally Star Wars: A New Hope but instead of a Death Star it's the inside of a mountain on Earth. Instead of X-Wings it Was F-18's.It involved a trench run, no missile guidance system, a ""one in a million Shot"", and getting out of Dodge before the whole thing blows, get back to base and have the entire carrier run up to them to lift them ""onto their shoulders"".The only thing it lacked in similarity was the rewards ceremony at the end with two droids shaking and making beeping noises.Tom Cruise is Obiwan, Miles Teller is Luke Skywalker, Jennifer Connolly is Princess Leia, and Glen Powell is Chewie.Save yourself the time and and money and just watch Star Wars: A New Hope again and pretend they're in F-18's.",49 out of 165 found this helpful.
